"Something went wrong while validating license. Please contact %1","Something went wrong while validating license. Please contact %1"
"<a href=""https://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","<a href=""https://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>"
All,All
"General Settings","General Settings"
"Enabled Bootstrap Js","Enabled Bootstrap Js"
"Version: 3.3.5","Version: 3.3.5"
"Enabled Owl Carousel Js","Enabled Owl Carousel Js"
"Version: 2.0.0-beta.3","Version: 2.0.0-beta.3"
"Enabled Colorbox Popup Js","Enabled Colorbox Popup Js"
"Version: 1.5.14","Version: 1.5.14"
"Enabled Fancybox Popup Js","Enabled Fancybox Popup Js"
"Version: 2.1.5","Version: 2.1.5"
"Enabled Fancybox Mousewell Js","Enabled Fancybox Mousewell Js"
"Custom CSS","Custom CSS"
"Add custom css code at here to apply it for the frontend","Add custom css code at here to apply it for the frontend"
"Manage Licenses","Manage Licenses"
Market,Market
