"At the top","At the top"
"At the bottom","At the bottom"
"After the category filter","After the category filter"
Vertical,Vertical
Horizontal,Horizontal
Category,Category
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"In Stock","In Stock"
"Out of stock","Out of stock"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
item,item
items,items
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Layered Navigation","Layered Navigation"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Type Layer Navigation","Type Layer Navigation"
"Show InStock/OutStock in Layer Navigation","Show InStock/OutStock in Layer Navigation"
"Enable Price Slider","Enable Price Slider"
